,rmse_score,mae_score,add_age,add_temporal_information,bucketing_lower_bound,bucketing_technique,bucketing_upper_bound,encoding_technique,kmeans_n_clusters,knn_leaf_size,knn_n_neighbors,ml_algorithm,svr_c,svr_epsilon,temporal_split_sort_by,xgb_eta,xgb_max_depth
46,0.449537671186084,6268.830285069495,True,False,6,PrefixLength,6,LastState,,27.0,10.0,KNN,,,timesincecasestart,,
47,0.2271287813600589,6666.414970958289,True,False,15,Clustering,15,LastState,11.0,44.0,6.0,KNN,,,time:timestamp,,
48,0.8715149999153334,8409.2244751714,True,True,16,SingleBucket,16,Aggregation,,,,XGB,,,timesincecasestart,0.7000000000000001,8.0
49,0.5093197291475319,9328.998673149206,False,False,6,PrefixLength,9,Aggregation,,,,XGB,,,time:timestamp,0.9,5.0
50,0.4939551596913081,9826.74915866133,True,True,10,Clustering,10,Aggregation,8.0,,,XGB,,,time:timestamp,0.9,5.0
51,0.8738793176105231,11345.967153724798,False,False,9,SingleBucket,9,LastState,,,,XGB,,,time:timestamp,0.1,8.0
52,2.849850237038832,10539.731057999148,True,True,18,PrefixLength,18,LastState,,,,XGB,,,timesincecasestart,0.4,13.0
53,0.3073718551420645,6920.897068373061,False,True,10,Clustering,10,LastState,7.0,,,XGB,,,time:timestamp,0.4,14.0
54,0.1729804877468415,4801.055911039179,True,True,11,SingleBucket,11,Aggregation,,,,SVR,1.1,1.0,timesincecasestart,,
55,0.0222654742959718,1407.1266141564486,True,True,18,PrefixLength,19,Aggregation,,,,SVR,1.1,0.4,timesincecasestart,,
56,0.1254333877943313,4260.151691701944,True,False,18,Clustering,18,Aggregation,8.0,,,SVR,1.3,0.5,time:timestamp,,
57,0.3172687949368757,6469.330524004875,True,False,3,SingleBucket,3,LastState,,,,SVR,0.7000000000000001,0.7000000000000001,timesincecasestart,,
58,0.2276075289757909,6706.540099758632,False,False,7,PrefixLength,19,LastState,,,,SVR,1.3,0.7000000000000001,time:timestamp,,
59,0.1870809645818805,4030.836786250789,True,True,3,Clustering,3,LastState,13.0,,,SVR,1.1,0.30000000000000004,time:timestamp,,
60,0.1808936213382057,4524.756163456458,False,False,14,SingleBucket,14,Aggregation,,34.0,6.0,KNN,,,timesincecasestart,,
61,0.1400122693799789,5996.904240534828,False,False,19,PrefixLength,19,Aggregation,,39.0,14.0,KNN,,,time:timestamp,,
62,1.3423990902427263,4904.040361443193,True,True,17,Clustering,17,Aggregation,12.0,42.0,11.0,KNN,,,timesincecasestart,,
63,1.082205374717632,11488.517127420622,True,False,14,SingleBucket,14,LastState,,31.0,7.0,KNN,,,timesincecasestart,,
64,0.7323525792574122,12662.944594124505,True,False,8,PrefixLength,14,LastState,,26.0,7.0,KNN,,,time:timestamp,,
65,1.6376754660724788,8427.1643146448,False,False,7,Clustering,7,LastState,7.0,32.0,9.0,KNN,,,timesincecasestart,,
66,0.9940495648098846,9189.976360772269,False,True,10,SingleBucket,10,Aggregation,,,,XGB,,,timesincecasestart,0.6000000000000001,6.0
67,0.7901630277808737,7853.386108546927,True,True,2,PrefixLength,18,Aggregation,,,,XGB,,,timesincecasestart,0.7000000000000001,11.0
68,0.6838425530255803,12198.28753957515,False,True,2,Clustering,2,Aggregation,12.0,,,XGB,,,time:timestamp,0.1,8.0
69,1.651255327633786,12455.404499207842,False,True,16,SingleBucket,16,LastState,,,,XGB,,,time:timestamp,0.6000000000000001,14.0
70,2.424182929614105,13084.372513196113,False,True,12,PrefixLength,12,LastState,,,,XGB,,,timesincecasestart,0.5,5.0
71,0.7873108679547287,13039.723585536649,True,False,15,Clustering,15,LastState,10.0,,,XGB,,,time:timestamp,0.8,10.0
72,0.0556633869243107,2493.426502065819,False,True,6,SingleBucket,6,Aggregation,,,,SVR,1.3,0.7000000000000001,timesincecasestart,,
73,0.1069108769687334,4918.820437255696,False,False,7,PrefixLength,14,Aggregation,,,,SVR,0.9,0.2,time:timestamp,,
74,1.7213152621891838,7439.70396494091,True,True,3,Clustering,3,Aggregation,11.0,,,SVR,1.3,1.0,timesincecasestart,,
75,0.3723248782380363,6453.135695380681,True,False,11,SingleBucket,11,LastState,,,,SVR,1.2000000000000002,0.8,timesincecasestart,,
76,0.5765536266110922,9137.573667080873,True,True,7,PrefixLength,19,LastState,,,,SVR,0.7000000000000001,0.9,timesincecasestart,,
77,0.8016198632407254,5349.863420013032,True,True,9,Clustering,9,LastState,9.0,,,SVR,0.8,0.7000000000000001,timesincecasestart,,
78,0.2086315900987646,3721.932214801793,True,True,18,SingleBucket,18,Aggregation,,30.0,7.0,KNN,,,timesincecasestart,,
79,0.2829453440729242,3949.55168453056,True,True,7,PrefixLength,15,Aggregation,,40.0,8.0,KNN,,,timesincecasestart,,
80,1.645478746572273,6583.148725650407,False,True,6,Clustering,6,Aggregation,7.0,32.0,6.0,KNN,,,timesincecasestart,,
